datetime,open,high,low,close,volume
2017-08-09 02:00:00,0.00081993,0.00088752,0.00077146,0.000876,5260410.0
2017-08-10 02:00:00,0.00088,0.00122214,0.00083109,0.00122115,9112962.0
2017-08-11 02:00:00,0.00122202,0.00132538,0.00106932,0.00126923,11021833.0
2017-08-12 02:00:00,0.00126666,0.00147075,0.00105903,0.00143721,8992219.0
2017-08-13 02:00:00,0.00143715,0.00351524,0.00143018,0.00295464,13478072.0
2017-08-14 02:00:00,0.0029,0.00487571,0.00240253,0.00427479,15895400.0
2017-08-15 02:00:00,0.00427448,0.00464184,0.00315587,0.00370313,8554462.0
2017-08-16 02:00:00,0.0037102,0.00481,0.0036535,0.00471721,7687793.0
2017-08-17 02:00:00,0.00471921,0.00691296,0.00436,0.0064681,9834719.0
2017-08-18 02:00:00,0.00645605,0.0091146,0.00624167,0.00822,11499826.0
2017-08-19 02:00:00,0.00822,0.00825252,0.006001,0.00708639,8903134.0
2017-08-20 02:00:00,0.00709112,0.00906603,0.00685804,0.00853424,7891111.0
2017-08-21 02:00:00,0.00857166,0.0097451,0.00700928,0.00843399,9259067.0
2017-08-22 02:00:00,0.008435,0.0085,0.00734463,0.007901,7370943.0
2017-08-23 02:00:00,0.00790101,0.00912899,0.007816,0.00818696,9199151.0
2017-08-24 02:00:00,0.00819,0.0083671,0.00703646,0.00729178,7287510.0
2017-08-25 02:00:00,0.00729378,0.008291,0.00726177,0.00775823,4531043.0
2017-08-26 02:00:00,0.00775823,0.00777169,0.00564472,0.00655801,2055914.0
2017-08-27 02:00:00,0.00657942,0.0068,0.00552782,0.00575,2652839.0
2017-08-28 02:00:00,0.00571907,0.00623655,0.00562211,0.00598758,2138995.0
2017-08-29 02:00:00,0.00601233,0.00615,0.00536058,0.00608286,2478832.0
2017-08-30 02:00:00,0.00608286,0.00625837,0.005526,0.00613325,3516687.0
2017-08-31 02:00:00,0.0061178,0.00627,0.00563401,0.005793,2874401.0
2017-09-01 02:00:00,0.00575202,0.00609952,0.005431,0.00609952,2611396.0
2017-09-02 02:00:00,0.00609952,0.00734297,0.0051502,0.00605,2936361.0
2017-09-03 02:00:00,0.006,0.006,0.0042,0.00449701,2336094.0
2017-09-04 02:00:00,0.00449701,0.004631,0.002,0.00340001,4260417.0
2017-09-05 02:00:00,0.00340004,0.0038,0.00263001,0.00310008,2079718.0
2017-09-06 02:00:00,0.003105,0.00353511,0.00203,0.00303012,3217966.0
2017-09-07 02:00:00,0.00303012,0.004795,0.00286,0.00411413,2949430.0
2017-09-08 02:00:00,0.00411614,0.00431869,0.00315,0.00330804,3057230.0
2017-09-09 02:00:00,0.00330906,0.0034,0.002899,0.0031579,1286522.0
2017-09-10 02:00:00,0.00320999,0.00339736,0.00303,0.00315001,992472.0
2017-09-11 02:00:00,0.0031993,0.003689,0.00310061,0.00340103,1099104.0
2017-09-12 02:00:00,0.00340542,0.0039891,0.00335868,0.0035544,1788455.0
2017-09-13 02:00:00,0.00349113,0.00355432,0.00321001,0.00339345,896064.0
2017-09-14 02:00:00,0.00339246,0.00344084,0.00290005,0.00300202,1382879.0
2017-09-15 02:00:00,0.00300801,0.00333332,0.00255149,0.00312701,1585362.0
2017-09-16 02:00:00,0.003128,0.00353987,0.00294009,0.00316073,1014723.0
2017-09-17 02:00:00,0.00316073,0.0032242,0.003,0.00303506,617960.0
2017-09-18 02:00:00,0.00303605,0.003201,0.002872,0.00301553,716062.0
2017-09-19 02:00:00,0.00301553,0.00308898,0.00275615,0.00283003,770349.0
2017-09-20 02:00:00,0.00283305,0.00292581,0.0026125,0.00263201,550840.0
2017-09-21 02:00:00,0.00264374,0.0027999,0.00258489,0.00268001,569058.0
2017-09-22 02:00:00,0.00268101,0.00276998,0.002611,0.00271949,558681.0
2017-09-23 02:00:00,0.00271949,0.0028399,0.00268001,0.00269152,496036.0
2017-09-24 02:00:00,0.00269899,0.002775,0.00260424,0.00275433,649084.0
